command	CPU	time	mem
"python3 -u dnabarcoder/dnabarcoder.py sim -i ../../data/train_nt.fasta -o train_nt_16"	550%	45:30.47	1721416
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank species"	99%	6:20.15	50512176
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank species -higherrank genus,family,order,class,phylum,kingdom"	99%	15:42.01	50533764
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank genus"	99%	6:29.20	50485464
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank genus -higherrank family,order,class,phylum,kingdom"	99%	14:35.69	50520820
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank family"	99%	5:51.40	50527836
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank family -higherrank order,class,phylum,kingdom"	99%	6:35.41	50512560
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank order"	99%	6:25.27	50500900
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank order -higherrank class,phylum,kingdom"	99%	6:27.45	50518700
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank class"	99%	6:26.56	50508496
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank class -higherrank phylum,kingdom"	99%	6:35.15	50503280
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank phylum"	99%	6:36.54	50506436
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank phylum -higherrank kingdom"	99%	6:26.98	50486828
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -minGroupNo 2 -prefix train_nt_16 -o train_nt_16 -rank kingdom"	376%	0:00.67	59664
"python3 -u dnabarcoder/dnabarcoder.py best -i train_nt_16/train_nt_16.cutoffs.json -c ../../data/train_tax.tsv -o train_nt_16"	211%	0:01.43	49244
"python3 -u dnabarcoder/dnabarcoder.py search -i ../../data/test_nt.fasta -r ../../data/train_nt.fasta --prefix test_nt_16 -o ."	447%	41:02.03	1456528
"python3 -u dnabarcoder/dnabarcoder.py classify -i test_nt_16.train_nt_BLAST.bestmatch -r ../../data/train_nt.fasta -c ../../data/train_tax.tsv --cutoffs train_nt_16/train_nt_16.cutoffs.best.json -o . --prefix test_nt_16"	141%	0:03.24	91416
"python3 -u dnabarcoder/dnabarcoder.py search -i ../../data/testshort_nt.fasta -r ../../data/train_nt.fasta --prefix testshort_nt_16 -o ."	321%	27:04.63	1551204
"python3 -u dnabarcoder/dnabarcoder.py classify -i testshort_nt_16.train_nt_BLAST.bestmatch -r ../../data/train_nt.fasta -c ../../data/train_tax.tsv --cutoffs train_nt_16/train_nt_16.cutoffs.best.json -o . --prefix testshort_nt_16"	163%	0:02.48	90868
