command	CPU	time	mem
"python3 -u dnabarcoder/dnabarcoder.py sim -i ../../data/train_nt.fasta -o train_nt_40"	517%	44:43.66	4491072
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank species"	100%	4:49.43	50493988
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank species -higherrank genus,family,order,class,phylum,kingdom"	100%	12:48.11	50542016
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank genus"	101%	4:52.01	50512128
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank genus -higherrank family,order,class,phylum,kingdom"	100%	12:11.63	50542992
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank family"	101%	4:55.00	50511224
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank family -higherrank order,class,phylum,kingdom"	100%	4:54.77	50511528
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank order"	101%	4:49.84	50498516
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank order -higherrank class,phylum,kingdom"	101%	4:51.23	50528620
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank class"	101%	4:53.53	50498456
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank class -higherrank phylum,kingdom"	101%	4:54.73	50516932
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank phylum"	97%	5:05.53	50505468
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank phylum -higherrank kingdom"	101%	4:49.95	50510944
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -minGroupNo 2 -prefix train_nt_40 -o train_nt_40 -rank kingdom"	906%	0:00.61	63732
"python3 -u dnabarcoder/dnabarcoder.py best -i train_nt_40/train_nt_40.cutoffs.json -c ../../data/train_tax.tsv -o train_nt_40"	438%	0:01.36	53412
"python3 -u dnabarcoder/dnabarcoder.py search -i ../../data/test_nt.fasta -r ../../data/train_nt.fasta --prefix test_nt_40 -o ."	441%	38:15.87	1516304
"python3 -u dnabarcoder/dnabarcoder.py classify -i test_nt_40.train_nt_BLAST.bestmatch -r ../../data/train_nt.fasta -c ../../data/train_tax.tsv --cutoffs train_nt_40/train_nt_40.cutoffs.best.json -o . --prefix test_nt_40"	253%	0:02.94	94184
"python3 -u dnabarcoder/dnabarcoder.py search -i ../../data/testshort_nt.fasta -r ../../data/train_nt.fasta --prefix testshort_nt_40 -o ."	319%	25:09.13	1690124
"python3 -u dnabarcoder/dnabarcoder.py classify -i testshort_nt_40.train_nt_BLAST.bestmatch -r ../../data/train_nt.fasta -c ../../data/train_tax.tsv --cutoffs train_nt_40/train_nt_40.cutoffs.best.json -o . --prefix testshort_nt_40"	273%	0:02.71	93556
