command	CPU	time	mem
"iqtree2 -s ../../data/train_aa_aln.fasta -T 16 -fast -keep-ident --redo -m mtART+G4 -g ../../data/phylogenetic_constraints.tre -pre train_aa_16/train_aa"	285%	14:02:13	10670080
"epa-ng --tree train_aa_16/train_aa.treefile --ref-msa ../../data/train_aa_aln.fasta --query ../../data/test_aa_aln.fasta --out-dir train_aa_16/test --model mtART+G4{0.59} --threads 16 --redo"	1573%	3:15:23	39576340
"gappa examine assign --jplace-path train_aa_16/test/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_16/test --file-suffix _test_aa_16 --per-query-results --threads 16 --allow-file-overwriting"	98%	1:06.42	379724
"epa-ng --tree train_aa_16/train_aa.treefile --ref-msa ../../data/train_aa_aln.fasta --query ../../data/testshort_aa_aln.fasta --out-dir train_aa_16/testshort --model mtART+G4{0.59} --threads 16 --redo"	1578%	3:22:18	33134068
"gappa examine assign --jplace-path train_aa_16/testshort/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_16/testshort --file-suffix _testshort_aa_16 --per-query-results --threads 16 --allow-file-overwriting"	98%	0:58.46	381584
"iqtree2 -s ../../data/train_nt_aln.fasta -T 16 -fast -keep-ident --redo -m GTR+G4 -g ../../data/phylogenetic_constraints.tre -pre train_nt_16/train_nt"	369%	19:13:36	7477204
"epa-ng --tree train_nt_16/train_nt.treefile --ref-msa ../../data/train_nt_aln.fasta --query ../../data/test_nt_aln.fasta --out-dir train_nt_16/test --model GTR{1.41704/8.13030/5.68939/1.57329/25.74778/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.411} --threads 16 --redo"	1172%	4:09.46	36649392
"gappa examine assign --jplace-path train_nt_16/test/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_16/test --file-suffix _test_nt_16 --per-query-results --threads 16 --allow-file-overwriting"	93%	1:17.58	372292
"epa-ng --tree train_nt_16/train_nt.treefile --ref-msa ../../data/train_nt_aln.fasta --query ../../data/testshort_nt_aln.fasta --out-dir train_nt_16/testshort --model GTR{1.41704/8.13030/5.68939/1.57329/25.74778/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.411} --threads 16 --redo"	1147%	3:24.88	30790020
"gappa examine assign --jplace-path train_nt_16/testshort/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_16/testshort --file-suffix _testshort_nt_16 --per-query-results --threads 16 --allow-file-overwriting"	98%	0:41.47	375708
