command	CPU	time	mem
"iqtree2 -s ../../data/train_aa_aln.fasta -T 40 -fast -keep-ident --redo -m mtART+G4 -g ../../data/phylogenetic_constraints.tre -pre train_aa_40/train_aa"	519%	10:32:23	16500224
"epa-ng --tree train_aa_40/train_aa.treefile --ref-msa ../../data/train_aa_aln.fasta --query ../../data/test_aa_aln.fasta --out-dir train_aa_40/test --model mtART+G4{0.59} --threads 40 --redo"	3922%	1:29:28	39671800
"gappa examine assign --jplace-path train_aa_40/test/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_40/test --file-suffix _test_aa_40 --per-query-results --threads 40 --allow-file-overwriting"	99%	0:35.72	379872
"epa-ng --tree train_aa_40/train_aa.treefile --ref-msa ../../data/train_aa_aln.fasta --query ../../data/testshort_aa_aln.fasta --out-dir train_aa_40/testshort --model mtART+G4{0.59} --threads 40 --redo"	3926%	1:21:58	33182440
"gappa examine assign --jplace-path train_aa_40/testshort/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_40/testshort --file-suffix _testshort_aa_40 --per-query-results --threads 40 --allow-file-overwriting"	66%	0:53.36	381828
"iqtree2 -s ../../data/train_nt_aln.fasta -T 40 -fast -keep-ident --redo -m GTR+G4 -g ../../data/phylogenetic_constraints.tre -pre train_nt_40/train_nt"	1274%	10:51:58	12965244
"epa-ng --tree train_nt_40/train_nt.treefile --ref-msa ../../data/train_nt_aln.fasta --query ../../data/test_nt_aln.fasta --out-dir train_nt_40/test --model GTR{1.44318/8.22888/5.76158/1.60737/26.13179/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.413} --threads 40 --redo"	2607%	1:54.76	36657072
"gappa examine assign --jplace-path train_nt_40/test/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_40/test --file-suffix _test_nt_40 --per-query-results --threads 40 --allow-file-overwriting"	99%	0:36.54	372444
"epa-ng --tree train_nt_40/train_nt.treefile --ref-msa ../../data/train_nt_aln.fasta --query ../../data/testshort_nt_aln.fasta --out-dir train_nt_40/testshort --model GTR{1.44318/8.22888/5.76158/1.60737/26.13179/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.413} --threads 40 --redo"	2523%	1:33.08	30784000
"gappa examine assign --jplace-path train_nt_40/testshort/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_40/testshort --file-suffix _testshort_nt_40 --per-query-results --threads 40 --allow-file-overwriting"	100%	0:35.55	375908
