ID	class	Prob_class	order	Prob_order	family	Prob_family	 subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	 species	Prob_species
TBGMI030-21		Insecta	1.00	Coleoptera	0.36	Staphylinidae	0.17	Chironominae	0.10	Chironomini	0.05	Phyllonorycter	0.03	Bibloporus_minutus	0.03
TBGMI051-21		Insecta	0.97	Diptera	0.35	Chironomidae	0.12	Coleophorinae	0.10	Coleophorinae_dummy_tribe	0.10	Coleophora	0.10	Neogalerucella_calmariensis	0.04
TACFI441-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Phasiini	1.00	Phasia	1.00	Phasia_obesa	0.94
TACFI440-12		Insecta	1.00	Diptera	1.00	Tachinidae	0.45	Phasiinae	0.33	Phasiini	0.30	Phasia	0.30	Phasia_barbifrons	0.10
TBGMI172-21		Insecta	0.85	Diptera	0.32	Chironomidae	0.09	Chrysomelinae	0.05	Chrysomelinae_dummy_tribe	0.05	Gastrophysa	0.05	Gastrophysa_polygoni	0.05
TIPSY021-08		Insecta	1.00	Lepidoptera	0.44	Tortricidae	0.15	Olethreutinae	0.09	Eucosmini	0.08	Orthocladius	0.04	Pegomya_rubivora	0.02
SYGEO010-19		Insecta	1.00	Diptera	1.00	Syrphidae	0.72	Syrphinae	0.64	Syrphini	0.57	Paragus	0.51	Paragus_pecchiolii	0.50
TBGMI063-21		Insecta	1.00	Diptera	0.48	Syrphidae	0.08	Noctuinae	0.07	Coleophorinae_dummy_tribe	0.05	Coleophora	0.05	Brachyopa_testacea	0.03
ZYGMO232-10		Insecta	1.00	Lepidoptera	1.00	Zygaenidae	1.00	Procridinae	1.00	Procridini	1.00	Rhagades	1.00	Rhagades_pruni	1.00
SMNKA181-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	Linyphiidae_dummy_subfamily	1.00	Linyphiidae_dummy_tribe	1.00	Agyneta	0.96	Agyneta_mossica	0.66
SMNKA310-16		Arachnida	0.89	Araneae	0.89	Linyphiidae	0.31	Linyphiidae_dummy_subfamily	0.31	Linyphiidae_dummy_tribe	0.31	Mellinus	0.09	Mellinus_arvensis	0.09
TIPSY020-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	Naryciinae_dummy_tribe	1.00	Dahlica	1.00	Dahlica_lichenella	1.00
TBGMI059-21		Insecta	0.99	Coleoptera	0.50	Staphylinidae	0.10	Aleocharinae	0.07	Hydroporini	0.06	Hydroporus	0.05	Spondylis_buprestoides	0.04
SCINO931-15		Insecta	1.00	Diptera	0.85	Sciaridae	0.67	Sciaridae_dummy_subfamily	0.67	Sciaridae_dummy_tribe	0.67	Prosciara	0.25	Prosciara_prosciaroides	0.25
ZSMDB080-16		Insecta	1.00	Coleoptera	1.00	Dytiscidae	1.00	Colymbetinae	1.00	Colymbetini	1.00	Colymbetes	1.00	Colymbetes_paykulli	1.00
SMNSA135-16		Arachnida	0.92	Araneae	0.92	Theridiidae	0.24	Theridiidae_dummy_subfamily	0.24	Theridiidae_dummy_tribe	0.24	Phylloneta	0.11	Yunohamella_palmgreni	0.11
TIPSY040-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	Naryciinae_dummy_tribe	1.00	Dahlica	1.00	Dahlica_listerella	1.00
PSYCH068-11		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	Naryciinae_dummy_tribe	1.00	Diplodoma	1.00	Diplodoma_laichartingella	1.00
TBGMI176-21		Insecta	0.57	Sarcoptiformes	0.35	Ceratozetidae	0.11	Ceratozetidae_dummy_subfamily	0.11	Ceratozetidae_dummy_tribe	0.11	Diapterobates	0.09	Diapterobates_humeralis	0.09
SMNKA199-16		Arachnida	0.99	Araneae	0.99	Linyphiidae	0.86	Linyphiidae_dummy_subfamily	0.86	Linyphiidae_dummy_tribe	0.86	Walckenaeria	0.33	Walckenaeria_cuspidata	0.25
SMNKA042-16		Arachnida	0.99	Araneae	0.99	Thomisidae	0.59	Thomisidae_dummy_subfamily	0.59	Thomisidae_dummy_tribe	0.59	Ozyptila	0.43	Ozyptila_atomaria	0.21
TACFI196-12		Insecta	1.00	Diptera	0.96	Tachinidae	0.23	Scathophaginae	0.22	Anthomyiidae_dummy_tribe	0.12	Lejogaster	0.10	Lejogaster_tarsata	0.10
SMNKA249-16		Arachnida	1.00	Araneae	1.00	Liocranidae	1.00	Liocranidae_dummy_subfamily	1.00	Liocranidae_dummy_tribe	1.00	Agroeca	1.00	Agroeca_proxima	1.00
TBGMI106-21		Insecta	1.00	Hemiptera	0.28	Tenthredinidae	0.15	Phylinae	0.08	Mirini	0.05	Tytthus	0.05	Cephus_fumipennis	0.04
TACFI276-12		Insecta	1.00	Diptera	0.96	Tachinidae	0.49	Exoristinae	0.41	Goniini	0.23	Pales	0.15	Pales_pavida	0.15
SYGEO240-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Syrphinae	1.00	Syrphini	1.00	Sphaerophoria	1.00	Sphaerophoria_chongjini	0.43
TACFI435-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Blondeliini	1.00	Medina	1.00	Medina_collaris	1.00
ULMCA013-19		Insecta	1.00	Coleoptera	1.00	Nitidulidae	1.00	Carpophilinae	1.00	Carpophilinae_dummy_tribe	1.00	Carpophilus	1.00	Carpophilus_marginellus	1.00
SCINO1295-16		Insecta	1.00	Diptera	0.69	Sciaridae	0.53	Sciaridae_dummy_subfamily	0.53	Sciaridae_dummy_tribe	0.53	Cratyna	0.23	Cratyna_nobilis	0.23
RDNMD360-06		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Plusiinae	1.00	Plusiini	1.00	Polychrysia	1.00	Polychrysia_moneta	1.00
SMNSH039-23		Insecta	0.99	Lepidoptera	0.38	Ichneumonidae	0.19	Ichneumoninae	0.05	Ichneumoninae_dummy_tribe	0.05	Meromyza	0.02	Rhopobota_ustomaculana	0.02
TACFI397-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Eryciini	1.00	Hubneria	1.00	Hubneria_affinis	1.00
TBGMI157-21		Insecta	0.73	Coleoptera	0.32	Miridae	0.08	Myrmicinae	0.07	Trhypochthoniidae_dummy_tribe	0.06	Trhypochthoniellus	0.06	Trhypochthoniellus_longiseta	0.06
TBGMI057-21		Insecta	0.99	Coleoptera	0.46	Staphylinidae	0.20	Aleocharinae	0.12	Orthocladiinae_dummy_tribe	0.08	Aleochara	0.04	Eukiefferiella_dittmari	0.04
SMNKA264-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	0.91	Linyphiidae_dummy_subfamily	0.91	Linyphiidae_dummy_tribe	0.91	Walckenaeria	0.20	Ceratinella_brevis	0.07
