ID	class	Prob_class	order	Prob_order	family	Prob_family	 subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	 species	Prob_species
TACFI441-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Phasiini	1.00	Phasia	1.00	Phasia_obesa	0.99
TACFI440-12		Insecta	1.00	Diptera	0.99	Tachinidae	0.36	Phasiinae	0.24	Anthomyiidae_dummy_tribe	0.24	Phasia	0.21	Phasia_barbifrons	0.09
TBGMI030-21		Insecta	1.00	Coleoptera	0.33	Chironomidae	0.18	Chironominae	0.10	Orthocladiinae_dummy_tribe	0.08	Sylvicola	0.04	Sylvicola_fuscatoides	0.04
SYGEO010-19		Insecta	1.00	Diptera	0.99	Syrphidae	0.67	Syrphinae	0.61	Syrphini	0.52	Paragus	0.41	Paragus_pecchiolii	0.41
ZYGMO232-10		Insecta	1.00	Lepidoptera	1.00	Zygaenidae	1.00	Procridinae	1.00	Procridini	1.00	Rhagades	1.00	Rhagades_pruni	1.00
SCINO931-15		Insecta	1.00	Diptera	0.88	Sciaridae	0.70	Sciaridae_dummy_subfamily	0.70	Sciaridae_dummy_tribe	0.70	Claustropyga	0.29	Claustropyga_acanthostyla	0.21
TBGMI051-21		Insecta	0.97	Coleoptera	0.35	Chironomidae	0.10	Coleophorinae	0.09	Coleophorinae_dummy_tribe	0.09	Coleophora	0.09	Neogalerucella_calmariensis	0.06
SMNKA181-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	Linyphiidae_dummy_subfamily	1.00	Linyphiidae_dummy_tribe	1.00	Agyneta	0.98	Agyneta_mossica	0.73
ZSMDB080-16		Insecta	1.00	Coleoptera	1.00	Dytiscidae	1.00	Colymbetinae	1.00	Colymbetini	1.00	Colymbetes	1.00	Colymbetes_paykulli	1.00
TBGMI063-21		Insecta	1.00	Diptera	0.43	Geometridae	0.12	Larentiinae	0.09	Larentiinae_dummy_tribe	0.09	Coleophora	0.04	Perizoma_minorata	0.03
TIPSY021-08		Insecta	1.00	Diptera	0.48	Tortricidae	0.15	Olethreutinae	0.09	Eucosmini	0.06	Eumerus	0.04	Eumerus_flavitarsis	0.04
TBGMI172-21		Insecta	0.88	Diptera	0.30	Chrysomelidae	0.12	Orthocladiinae	0.07	Orthocladiinae_dummy_tribe	0.07	Gastrophysa	0.04	Gastrophysa_polygoni	0.04
SMNKA310-16		Arachnida	0.91	Araneae	0.91	Linyphiidae	0.28	Linyphiidae_dummy_subfamily	0.28	Linyphiidae_dummy_tribe	0.28	Dictyna	0.10	Mellinus_arvensis	0.08
TBGMI059-21		Insecta	0.98	Coleoptera	0.43	Staphylinidae	0.08	Chironominae	0.06	Alticini	0.05	Longitarsus	0.05	Longitarsus_luridus	0.05
SMNSA135-16		Arachnida	0.94	Araneae	0.94	Gnaphosidae	0.22	Gnaphosidae_dummy_subfamily	0.22	Gnaphosidae_dummy_tribe	0.22	Gnaphosa	0.17	Gnaphosa_bicolor	0.09
PSYCH068-11		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	Naryciinae_dummy_tribe	1.00	Diplodoma	1.00	Diplodoma_laichartingella	1.00
TBGMI176-21		Insecta	0.62	Sarcoptiformes	0.31	Ceratozetidae	0.12	Ceratozetidae_dummy_subfamily	0.12	Ceratozetidae_dummy_tribe	0.12	Diapterobates	0.09	Diapterobates_humeralis	0.09
TIPSY020-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	Naryciinae_dummy_tribe	1.00	Dahlica	1.00	Dahlica_lichenella	1.00
TACFI397-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Eryciini	1.00	Hubneria	1.00	Hubneria_affinis	1.00
TACFI435-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Blondeliini	1.00	Medina	1.00	Medina_collaris	1.00
TACFI276-12		Insecta	1.00	Diptera	0.96	Tachinidae	0.62	Exoristinae	0.56	Goniini	0.33	Pales	0.23	Pales_pavida	0.23
SCINO1295-16		Insecta	1.00	Diptera	0.69	Sciaridae	0.52	Sciaridae_dummy_subfamily	0.52	Sciaridae_dummy_tribe	0.52	Cratyna	0.27	Cratyna_nobilis	0.27
TACFI408-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Tachininae	1.00	Ernestiini	1.00	Panzeria	1.00	Panzeria_rudis	0.90
SMNKA249-16		Arachnida	1.00	Araneae	1.00	Liocranidae	1.00	Liocranidae_dummy_subfamily	1.00	Liocranidae_dummy_tribe	1.00	Agroeca	1.00	Agroeca_proxima	1.00
RDNMG509-08		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Tholerini	1.00	Cerapteryx	1.00	Cerapteryx_graminis	1.00
TACFI196-12		Insecta	1.00	Diptera	0.94	Scathophagidae	0.27	Scathophaginae	0.25	Blondeliini	0.10	Pogonota	0.10	Pogonota_barbata	0.10
SCINO499-15		Insecta	0.98	Diptera	0.47	Sciaridae	0.16	Sciaridae_dummy_subfamily	0.16	Sciaridae_dummy_tribe	0.16	Coleophora	0.08	Claustropyga_corticis	0.04
TBGMI057-21		Insecta	1.00	Coleoptera	0.46	Chironomidae	0.21	Orthocladiinae	0.17	Orthocladiinae_dummy_tribe	0.17	Eukiefferiella	0.06	Eukiefferiella_dittmari	0.06
SRCNC528-16		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	1.00	Rhingiini	1.00	Pelecocera	1.00	Pelecocera_scaevoides	1.00
TACFI219-12		Insecta	1.00	Diptera	0.88	Tachinidae	0.43	Exoristinae	0.37	Winthemiini	0.34	Nemorilla	0.33	Nemorilla_maculosa	0.33
SYGEO240-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Syrphinae	1.00	Syrphini	1.00	Sphaerophoria	1.00	Sphaerophoria_chongjini	0.48
RDNMD360-06		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Plusiinae	1.00	Plusiini	1.00	Polychrysia	1.00	Polychrysia_moneta	1.00
ULMCA013-19		Insecta	1.00	Coleoptera	1.00	Nitidulidae	1.00	Carpophilinae	1.00	Carpophilinae_dummy_tribe	1.00	Carpophilus	1.00	Carpophilus_marginellus	1.00
TACFI205-12		Insecta	1.00	Diptera	1.00	Tachinidae	0.99	Exoristinae	0.99	Exoristini	0.99	Phorocera	0.98	Phorocera_obscura	0.98
TACFI464-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Tachininae	1.00	Ernestiini	1.00	Panzeria	1.00	Panzeria_puparum	1.00
TIPSY040-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	Naryciinae_dummy_tribe	1.00	Dahlica	1.00	Dahlica_listerella	1.00
ZMBN1662-20		Insecta	1.00	Hemiptera	1.00	Saldidae	1.00	Saldinae	1.00	Saldoidini	1.00	Saldula	1.00	Saldula_palustris	0.55
SMNKA042-16		Arachnida	0.98	Araneae	0.97	Thomisidae	0.59	Thomisidae_dummy_subfamily	0.59	Thomisidae_dummy_tribe	0.59	Ozyptila	0.49	Ozyptila_atomaria	0.32
SMNKA199-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	0.90	Linyphiidae_dummy_subfamily	0.90	Linyphiidae_dummy_tribe	0.90	Walckenaeria	0.27	Walckenaeria_cuspidata	0.19
TBGMI199-22		Insecta	1.00	Diptera	0.44	Pediciidae	0.12	Ulinae	0.12	Ulinae_dummy_tribe	0.12	Ula	0.12	Ula_sylvatica	0.11
SRDOC001-15		Insecta	1.00	Diptera	0.84	Mycetophilidae	0.39	Gnoristinae	0.23	Gnoristinae_dummy_tribe	0.23	Boletina	0.21	Boletina_pallidula	0.07
SMNSH039-23		Insecta	0.99	Hymenoptera	0.37	Ichneumonidae	0.21	Ichneumoninae	0.10	Ichneumoninae_dummy_tribe	0.10	Phyllonorycter	0.07	Diadromus_troglodytes	0.05
TRIFI1404-18		Insecta	1.00	Trichoptera	1.00	Limnephilidae	1.00	Limnephilinae	1.00	Limnephilinae_dummy_tribe	1.00	Limnephilus	1.00	Limnephilus_centralis	1.00
TBGMI157-21		Insecta	0.85	Coleoptera	0.30	Formicidae	0.13	Myrmicinae	0.13	Crematogastrini	0.13	Tetramorium	0.13	Tetramorium_atratulum	0.13
SCINO1501-16		Insecta	1.00	Lepidoptera	0.39	Sciaridae	0.23	Sciaridae_dummy_subfamily	0.23	Sciaridae_dummy_tribe	0.23	Prosciara	0.08	Prosciara_prosciaroides	0.08
SMNKA264-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	0.91	Linyphiidae_dummy_subfamily	0.91	Linyphiidae_dummy_tribe	0.91	Walckenaeria	0.29	Walckenaeria_alticeps	0.11
TBGMI106-21		Insecta	1.00	Hymenoptera	0.34	Tenthredinidae	0.21	Phylinae	0.08	Allantinae_dummy_tribe	0.07	Tytthus	0.07	Tytthus_pubescens	0.05
TBGMI055-21		Insecta	0.98	Coleoptera	0.58	Staphylinidae	0.21	Aleocharinae	0.10	Silphinae_dummy_tribe	0.05	Thanatophilus	0.04	Thanatophilus_rugosus	0.03
SMNSA063-16		Arachnida	0.90	Araneae	0.90	Theridiidae	0.36	Theridiidae_dummy_subfamily	0.36	Theridiidae_dummy_tribe	0.36	Yunohamella	0.10	Yunohamella_palmgreni	0.10
