command	CPU	time	mem
"python3 -u dnabarcoder/dnabarcoder.py sim -i ../../data/train_nt.fasta -o train_nt_1"	97%	28:43.12	349288
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_1/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_1 -o train_nt_1 -rank species"	99%	1:51:49	3486768
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_1/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_1 -o train_nt_1 -rank species -higherrank genus,family,order,class,phylum,kingdom"	98%	3:29:49	23434824
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_1/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_1 -o train_nt_1 -rank genus"	98%	1:43:58	23446152
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_1/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_1 -o train_nt_1 -rank genus -higherrank family,order,class,phylum,kingdom"	98%	3:10:18	23446084
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_1/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_1 -o train_nt_1 -rank family"	98%	1:49:31	23449396
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_1/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_1 -o train_nt_1 -rank family -higherrank order,class,phylum,kingdom"	98%	3:11:44	23449616
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_1/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_1 -o train_nt_1 -rank order"	98%	1:37:49	23450624
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_1/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_1 -o train_nt_1 -rank order -higherrank class,phylum,kingdom"	98%	2:25:35	23450552
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_1/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_1 -o train_nt_1 -rank class"	98%	1:38:49	23450364
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_1/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_1 -o train_nt_1 -rank class -higherrank phylum,kingdom"	98%	2:17:51	23450760
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_1/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_1 -o train_nt_1 -rank phylum"	98%	52:09.26	23450856
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_1/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_1 -o train_nt_1 -rank phylum -higherrank kingdom"	98%	51:30.98	23450900
"python3 -u dnabarcoder/dnabarcoder.py best -i train_nt_1/train_nt_1.cutoffs.json -c ../../data/train_tax.tsv -o train_nt_1"	6%	0:08.18	38928
"python3 -u dnabarcoder/dnabarcoder.py search -i ../../data/test_nt.fasta -r ../../data/train_nt.fasta --prefix test_nt_1 -o ."	99%	47:17.29	360412
"python3 -u dnabarcoder/dnabarcoder.py classify -i test_nt_1.train_nt_BLAST.bestmatch -r ../../data/train_nt.fasta -c ../../data/train_tax.tsv --cutoffs train_nt_1/train_nt_1.cutoffs.best.json -o . --prefix test_nt_1"	32%	0:03.87	59536
"python3 -u dnabarcoder/dnabarcoder.py search -i ../../data/testshort_nt.fasta -r ../../data/train_nt.fasta --prefix testshort_nt_1 -o ."	97%	1:12.74	3661468
"python3 -u dnabarcoder/dnabarcoder.py classify -i testshort_nt_1.train_nt_BLAST.bestmatch -r ../../data/train_nt.fasta -c ../../data/train_tax.tsv --cutoffs train_nt_1/train_nt_1.cutoffs.best.json -o . --prefix testshort_nt_1"	97%	0:01.09	58476
