command	CPU	time	mem
"python3 -u dnabarcoder/dnabarcoder.py sim -i ../../data/train_nt.fasta -o train_nt_40"	466%	6:19.26	1254928
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank species"	99%	1:08:51	4483764
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank species -higherrank genus,family,order,class,phylum,kingdom"	99%	2:08:28	4505320
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank genus"	99%	58:48.42	4497320
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank genus -higherrank family,order,class,phylum,kingdom"	99%	1:49:02	4505872
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank family"	99%	54:16.76	4503008
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank family -higherrank order,class,phylum,kingdom"	99%	1:38:57	4503204
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank order"	99%	51:57.53	4503364
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank order -higherrank class,phylum,kingdom"	99%	1:34:14	4504772
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank class"	99%	51:30.69	4506532
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank class -higherrank phylum,kingdom"	99%	1:24:08	4501164
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank phylum"	99%	49:36.27	4505636
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_40/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_40 -o train_nt_40 -rank phylum -higherrank kingdom"	99%	50:10.35	4480064
"python3 -u dnabarcoder/dnabarcoder.py best -i train_nt_40/train_nt_40.cutoffs.json -c ../../data/train_tax.tsv -o train_nt_40"	336%	0:01.62	39184
"python3 -u dnabarcoder/dnabarcoder.py search -i ../../data/test_nt.fasta -r ../../data/train_nt.fasta --prefix test_nt_40 -o ."	554%	8:36.00	322716
"python3 -u dnabarcoder/dnabarcoder.py classify -i test_nt_40.train_nt_BLAST.bestmatch -r ../../data/train_nt.fasta -c ../../data/train_tax.tsv --cutoffs train_nt_40/train_nt_40.cutoffs.best.json -o . --prefix test_nt_40"	484%	0:01.25	59984
"python3 -u dnabarcoder/dnabarcoder.py search -i ../../data/testshort_nt.fasta -r ../../data/train_nt.fasta --prefix testshort_nt_40 -o ."	232%	0:32.46	3688992
"python3 -u dnabarcoder/dnabarcoder.py classify -i testshort_nt_40.train_nt_BLAST.bestmatch -r ../../data/train_nt.fasta -c ../../data/train_tax.tsv --cutoffs train_nt_40/train_nt_40.cutoffs.best.json -o . --prefix testshort_nt_40"	592%	0:01.00	58668
