command	CPU	time	mem
"python3 -u dnabarcoder/dnabarcoder.py sim -i ../../data/train_nt.fasta -o train_nt_16"	496%	5:53.74	1254820
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank species"	99%	1:12:50	4484904
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank species -higherrank genus,family,order,class,phylum,kingdom"	99%	2:19:43	4502068
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank genus"	98%	1:01:40	4496464
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank genus -higherrank family,order,class,phylum,kingdom"	99%	1:59:50	4504800
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank family"	99%	58:15.97	4504408
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank family -higherrank order,class,phylum,kingdom"	99%	1:50:16	4504840
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank order"	98%	55:54.71	4501356
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank order -higherrank class,phylum,kingdom"	99%	1:41:48	4502424
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank class"	99%	55:39.34	4501096
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank class -higherrank phylum,kingdom"	99%	1:30:33	4502008
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank phylum"	99%	55:07.25	4502896
"python3 -u dnabarcoder/dnabarcoder.py predict -i ../../data/train_nt.fasta -c ../../data/train_tax.tsv -sim train_nt_16/train_nt.sim -st 0.85 -et 1.0 -s 0.001 -prefix train_nt_16 -o train_nt_16 -rank phylum -higherrank kingdom"	99%	53:07.04	4477968
"python3 -u dnabarcoder/dnabarcoder.py best -i train_nt_16/train_nt_16.cutoffs.json -c ../../data/train_tax.tsv -o train_nt_16"	18%	0:13.23	38944
"python3 -u dnabarcoder/dnabarcoder.py search -i ../../data/test_nt.fasta -r ../../data/train_nt.fasta --prefix test_nt_16 -o ."	567%	8:35.11	329544
"python3 -u dnabarcoder/dnabarcoder.py classify -i test_nt_16.train_nt_BLAST.bestmatch -r ../../data/train_nt.fasta -c ../../data/train_tax.tsv --cutoffs train_nt_16/train_nt_16.cutoffs.best.json -o . --prefix test_nt_16"	130%	0:02.37	59692
"python3 -u dnabarcoder/dnabarcoder.py search -i ../../data/testshort_nt.fasta -r ../../data/train_nt.fasta --prefix testshort_nt_16 -o ."	202%	0:37.59	3680444
"python3 -u dnabarcoder/dnabarcoder.py classify -i testshort_nt_16.train_nt_BLAST.bestmatch -r ../../data/train_nt.fasta -c ../../data/train_tax.tsv --cutoffs train_nt_16/train_nt_16.cutoffs.best.json -o . --prefix testshort_nt_16"	286%	0:01.01	58604
