command	CPU	time	mem
"iqtree2 -s train_aa_40/train_outgroup_aa_aln.fasta -T 40 -fast -keep-ident --redo -m mtART+G4 -pre train_aa_40/train_aa"	3096%	4:03:38	41800640
"epa-ng --tree train_aa_40/train_aa.treefile --ref-msa train_aa_40/train_outgroup_aa_aln.fasta --query ../../data/test_aa_aln.fasta --out-dir train_aa_40/test --model mtART+G4{0.594} --threads 40 --redo"	3914%	1:20:40	39660140
"gappa examine assign --jplace-path train_aa_40/test/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_40/test --file-suffix _test_aa_40 --per-query-results --threads 40 --allow-file-overwriting"	99%	0:32.59	83632
"epa-ng --tree train_aa_40/train_aa.treefile --ref-msa train_aa_40/train_outgroup_aa_aln.fasta --query ../../data/testshort_aa_aln.fasta --out-dir train_aa_40/testshort --model mtART+G4{0.594} --threads 40 --redo"	3926%	1:23:08	33162612
"gappa examine assign --jplace-path train_aa_40/testshort/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_40/testshort --file-suffix _testshort_aa_40 --per-query-results --threads 40 --allow-file-overwriting"	100%	0:32.37	82660
"iqtree2 -s train_nt_40/train_outgroup_nt_aln.fasta -T 40 -fast -keep-ident --redo -m GTR+G4 -pre train_nt_40/train_nt"	3454%	2:52:44	38388548
"epa-ng --tree train_nt_40/train_nt.treefile --ref-msa train_nt_40/train_outgroup_nt_aln.fasta --query ../../data/test_nt_aln.fasta --out-dir train_nt_40/test --model GTR{1.37174/8.23703/5.65423/1.52813/24.08148/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.415} --threads 40 --redo"	2713%	1:55.49	36672944
"gappa examine assign --jplace-path train_nt_40/test/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_40/test --file-suffix _test_nt_40 --per-query-results --threads 40 --allow-file-overwriting"	100%	0:33.45	79632
"epa-ng --tree train_nt_40/train_nt.treefile --ref-msa train_nt_40/train_outgroup_nt_aln.fasta --query ../../data/testshort_nt_aln.fasta --out-dir train_nt_40/testshort --model GTR{1.37174/8.23703/5.65423/1.52813/24.08148/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.415} --threads 40 --redo"	2640%	1:35.93	30779940
"gappa examine assign --jplace-path train_nt_40/testshort/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_40/testshort --file-suffix _testshort_nt_40 --per-query-results --threads 40 --allow-file-overwriting"	101%	0:33.84	106120
