command	CPU	time	mem
"iqtree2 -s train_aa_16/train_outgroup_aa_aln.fasta -T 16 -fast -keep-ident --redo -m mtART+G4 -pre train_aa_16/train_aa"	1339%	5:42:06	41794908
"epa-ng --tree train_aa_16/train_aa.treefile --ref-msa train_aa_16/train_outgroup_aa_aln.fasta --query ../../data/test_aa_aln.fasta --out-dir train_aa_16/test --model mtART+G4{0.594} --threads 16 --redo"	1581%	3:06:20	39644404
"gappa examine assign --jplace-path train_aa_16/test/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_16/test --file-suffix _test_aa_16 --per-query-results --threads 16 --allow-file-overwriting"	99%	0:36.97	112004
"epa-ng --tree train_aa_16/train_aa.treefile --ref-msa train_aa_16/train_outgroup_aa_aln.fasta --query ../../data/testshort_aa_aln.fasta --out-dir train_aa_16/testshort --model mtART+G4{0.594} --threads 16 --redo"	1583%	3:10:06	33152212
"gappa examine assign --jplace-path train_aa_16/testshort/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_16/testshort --file-suffix _testshort_aa_16 --per-query-results --threads 16 --allow-file-overwriting"	99%	0:36.92	113696
"iqtree2 -s train_nt_16/train_outgroup_nt_aln.fasta -T 16 -fast -keep-ident --redo -m GTR+G4 -pre train_nt_16/train_nt"	932%	4:50:44	38382320
"epa-ng --tree train_nt_16/train_nt.treefile --ref-msa train_nt_16/train_outgroup_nt_aln.fasta --query ../../data/test_nt_aln.fasta --out-dir train_nt_16/test --model GTR{1.36707/8.20603/5.63130/1.51609/23.95189/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.415} --threads 16 --redo"	1295%	3:45.85	36654012
"gappa examine assign --jplace-path train_nt_16/test/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_16/test --file-suffix _test_nt_16 --per-query-results --threads 16 --allow-file-overwriting"	99%	0:48.24	79548
"epa-ng --tree train_nt_16/train_nt.treefile --ref-msa train_nt_16/train_outgroup_nt_aln.fasta --query ../../data/testshort_nt_aln.fasta --out-dir train_nt_16/testshort --model GTR{1.36707/8.20603/5.63130/1.51609/23.95189/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.415} --threads 16 --redo"	1280%	3:08.14	30799696
"gappa examine assign --jplace-path train_nt_16/testshort/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_16/testshort --file-suffix _testshort_nt_16 --per-query-results --threads 16 --allow-file-overwriting"	100%	0:44.68	105276
