command	CPU	time	mem
"iqtree2 -s train_aa_1/train_outgroup_aa_aln.fasta -T 1 -fast -keep-ident --redo -m mtART+G4 -pre train_aa_1/train_aa"	99%	52:53:01	41795608
"epa-ng --tree train_aa_1/train_aa.treefile --ref-msa train_aa_1/train_outgroup_aa_aln.fasta --query ../../data/test_aa_aln.fasta --out-dir train_aa_1/test --model mtART+G4{0.594} --threads 1 --redo"	99%	46:05:46	39414660
"gappa examine assign --jplace-path train_aa_1/test/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_1/test --file-suffix _test_aa_1 --per-query-results --threads 1 --allow-file-overwriting"	96%	0:33.33	84160
"epa-ng --tree train_aa_1/train_aa.treefile --ref-msa train_aa_1/train_outgroup_aa_aln.fasta --query ../../data/testshort_aa_aln.fasta --out-dir train_aa_1/testshort --model mtART+G4{0.594} --threads 1 --redo"	99%	36:04:01	32864812
"gappa examine assign --jplace-path train_aa_1/testshort/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_1/testshort --file-suffix _testshort_aa_1 --per-query-results --threads 1 --allow-file-overwriting"	96%	0:33.53	84712
"iqtree2 -s train_nt_1/train_outgroup_nt_aln.fasta -T 1 -fast -keep-ident --redo -m GTR+G4 -pre train_nt_1/train_nt"	99%	4:03:24	38356188
"epa-ng --tree train_nt_1/train_nt.treefile --ref-msa train_nt_1/train_outgroup_nt_aln.fasta --query ../../data/test_nt_aln.fasta --out-dir train_nt_1/test --model GTR{1.36139/8.21748/5.62858/1.51032/23.96113/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.415} --threads 1 --redo"	99%	33:40.91	36714264
"gappa examine assign --jplace-path train_nt_1/test/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_1/test --file-suffix _test_nt_1 --per-query-results --threads 1 --allow-file-overwriting"	98%	0:33.32	79280
"epa-ng --tree train_nt_1/train_nt.treefile --ref-msa train_nt_1/train_outgroup_nt_aln.fasta --query ../../data/testshort_nt_aln.fasta --out-dir train_nt_1/testshort --model GTR{1.36139/8.21748/5.62858/1.51032/23.96113/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.415} --threads 1 --redo"	99%	27:38.93	30745376
"gappa examine assign --jplace-path train_nt_1/testshort/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_1/testshort --file-suffix _testshort_nt_1 --per-query-results --threads 1 --allow-file-overwriting"	99%	0:33.19	80268
