ID	phylum	class	order	family	genus	species	Prob_phylum	Prob_class	Prob_order	Prob_family	Prob_genus	Prob_species
KJ720198	Ascomycota	Saccharomycetes	Saccharomycetales	Pleomassariaceae	Lasiodiplodia	Lasiodiplodia_gonubiensis	0.99382174	0.37166843	0.2661243	0.12414455	0.065311916	0.0543985
MH861482	Basidiomycota	Moniliellomycetes	Dacrymycetales	Metschnikowiaceae	Metschnikowia	Aspergillus_monodii	0.9698892	0.17712735	0.12885849	0.24344815	0.1856003	0.038881335
LT222023	Basidiomycota	Eurotiomycetes	Agaricales	Tricholomataceae	Metschnikowia	Psathyrella_stercoraria	0.94689393	0.16502064	0.7895445	0.0633372	0.040577065	0.01849471
AB385698	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	Teunomyces	Teunomyces_stri	0.99998724	0.80585384	0.88678646	0.09103467	0.0876279	0.024822775
JF735264	Ascomycota	Saccharomycetes	Saccharomycetales	Nectriaceae	Ilyonectria	Ilyonectria_liriodendri	0.9999579	0.14203453	0.120922185	0.5656908	0.56202304	0.22851628
KX287385	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zasmidium	Brunneosphaerella_jonkershoekensis	0.99998534	0.7404115	0.9201967	0.9746636	0.22590928	0.098806806
JN684766	Ascomycota	Eurotiomycetes	Saccharomycetales	Aspergillaceae	Danielozyma	Pseudopenicillium_giganteum	0.9996965	0.47259742	0.3709027	0.13097358	0.045476753	0.016186407
FJ914915	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Diutina	Nadsonia_starkeyi-henricii	0.99998987	0.9628514	0.9611171	0.19781801	0.13749932	0.04456451
JF735288	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria_liriodendri	0.99997044	0.28187653	0.27607065	0.78568053	0.90938044	0.32952794
KM108370	Ascomycota	Saccharomycetes	Saccharomycetales	Orbiliaceae	Orbilia	Geotrichum_phurueaensis	0.99999833	0.34524643	0.40692803	0.18224874	0.10738265	0.044886086
KM108374	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_gonubiensis	0.9999689	0.8594113	0.9003121	0.415239	0.3176561	0.30948198
KM108378	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Sphaeropsis	Sphaeropsis_citrigena	0.9999913	0.73812085	0.95028204	0.6116319	0.28965613	0.29010502
KY102361	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Hyphopichia_rhagii	0.99440986	0.8875929	0.807524	0.19125494	0.14074074	0.07897372
JN942657	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_prosopidis	0.9999889	0.97050834	0.97038406	0.92878646	0.7057868	0.323484
EF141551	Ascomycota	Exobasidiomycetes	Tremellales	Phyllostictaceae	Pseudofusicoccum	Diaporthe_citrichinensis	0.99112236	0.08125549	0.13141981	0.03613162	0.022495052	0.019606644
KJ780507	Ascomycota	Dothideomycetes	Eurotiales	Trichocomaceae	Trichocoma	Metschnikowia_rubicola	0.99417794	0.33068922	0.2200516	0.1892083	0.054662496	0.032477964
