ID	phylum	class	order	family	genus	species	Prob_phylum	Prob_class	Prob_order	Prob_family	Prob_genus	Prob_species
KJ720198	Basidiomycota	Ascomycota_cls_Incertae_sedis_Stachybotryna	Ascomycota_ord_Incertae_sedis_Pseudomicrodochium	Gloeophyllaceae	Apiotrichum	Taphrina_mirabilis	0.6550877	0.6484181	0.2593776	0.7572781	0.27800924	0.27275187
MH861482	Basidiomycota	Exobasidiomycetes	Tritirachiales	Lachnocladiaceae	Graphiola	Malassezia_cuniculi	0.9999236	0.67309624	0.31852946	0.18371233	0.29720458	0.2403849
LT222023	Ascomycota	Agaricomycetes	Trechisporales	Gloeophyllaceae	Tricholoma	Thelephora_terrestris	0.9896165	0.32527143	0.49135435	0.96184665	0.2329512	0.18092136
AB385698	Ascomycota	Ascomycota_cls_Incertae_sedis_Stachybotryna	Pezizomycotina_ord_Incertae_sedis_Pleurotheciopsis	Pezizomycotina_fam_Incertae_sedis_Hymenula	Corynesporopsis	Arcuadendron_triangulare	0.99309915	0.19369799	0.15857995	0.26501647	0.21214738	0.18372254
JF735264	Ascomycota	Dothideomycetes	Ascomycota_ord_Incertae_sedis_Culicinomyces	Kirschsteiniotheliaceae	Cladoriella	Sympodioclathra_globosa	1.0	0.8219865	0.38123485	0.31407994	0.17257804	0.27708748
KX287385	Ascomycota	Dothideomycetes	Zeloasperisporiales	Teratosphaeriaceae	Dissoconium	Dissoconium_proteae	1.0	0.9151056	0.7427081	0.8636219	0.7011603	0.44222805
JN684766	Ascomycota	Pezizomycotina_cls_Incertae_sedis_Phialoarthrobotryum	Pezizomycotina_ord_Incertae_sedis_Phialoarthrobotryum	Xylonaceae	Kirschsteiniothelia	Eremomyces_bilateralis	0.99847716	0.24981602	0.54184985	0.18940991	0.1645786	0.6794277
FJ914915	Ascomycota	Saccharomycetes	Ascomycota_ord_Incertae_sedis_Pseudomicrodochium	Dipodascaceae	Beauveriphora	Ascoidea_asiatica	0.9999825	0.45301074	0.17437898	0.16140172	0.1664408	0.14197403
JF735288	Ascomycota	Dothideomycetes	Comminutisporales	Kirschsteiniotheliaceae	Scopularia	Sympodioclathra_globosa	1.0	0.9647351	0.17752495	0.45079744	0.26845214	0.16003276
KM108370	Ascomycota	Pezizomycotina_cls_Incertae_sedis_Beauveriphora	Pezizomycotina_ord_Incertae_sedis_Beauveriphora	Pezizomycotina_fam_Incertae_sedis_Mycosylva	Mycosylva	Corynesporopsis_iberica	1.0	0.47723344	0.3762423	0.47854257	0.22307086	0.4741189
