ID	kingdom	Prob_kingdom	phylum	Prob_phylum	class	Prob_class	 order	Prob_order	family	Prob_family	genus	Prob_genus	 species	Prob_species
KJ720198		Fungi	1.00	Basidiomycota	0.98	Agaricomycetes	0.98	Agaricales	0.70	Mycenaceae	0.17	Mycena	0.17	Nidularia_deformis	0.15
MH861482		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Russulales	1.00	Lachnocladiaceae	1.00	Scytinostroma	1.00	Scytinostroma_alutum	1.00
LT222023		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Tricholomataceae	0.99	Tricholoma	0.99	Tricholoma_olivaceotinctum	0.99
AB385698		Fungi	1.00	Ascomycota	0.95	Dothideomycetes	0.73	Venturiales	0.71	Sympoventuriaceae	0.71	Tetracoccosporium	0.50	Tetracoccosporium_aerium	0.50
JF735264		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Nectriaceae	1.00	Ilyonectria	1.00	Ilyonectria_liriodendri	1.00
KX287385		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Mycosphaerellales	1.00	Mycosphaerellaceae	1.00	Ramularia	1.00	Ramularia_cynarae	1.00
JN684766		Fungi	1.00	Basidiomycota	0.87	Agaricomycetes	0.75	Russulales	0.38	Peniophoraceae	0.31	Dichostereum	0.12	Dichostereum_effuscatum	0.06
FJ914915		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Pichiaceae	1.00	Ogataea	1.00	Ogataea_polymorpha	1.00
JF735288		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Nectriaceae	1.00	Ilyonectria	1.00	Ilyonectria_liriodendri	1.00
KM108370		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	1.00	Phacidiales	0.99	Phacidiaceae	0.99	Phacidium	0.99	Phacidium_lacerum	0.99
KM108374		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Lasiodiplodia	0.52	Lasiodiplodia_gonubiensis	0.52
KM108378		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Sphaeropsis	0.72	Sphaeropsis_citrigena	0.72
KY102361		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	1.00	Hyphopichia	1.00	Hyphopichia_rhagii	1.00
JN942657		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Debaryomycetaceae	1.00	Debaryomyces	1.00	Debaryomyces_prosopidis	1.00
EF141551		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Russulales	1.00	Russulaceae	1.00	Lactarius	1.00	Lactarius_subdulcis	1.00
KJ780507		Fungi	1.00	Ascomycota	0.59	Agaricomycetes	0.37	Russulales	0.14	Aspergillaceae	0.10	Aspergillus	0.08	Venturia_pyrina	0.07
HQ260334		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Saccharomycetaceae	1.00	Kazachstania	1.00	Kazachstania_intestinalis	1.00
UDB038245		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Polyporales	0.97	Phanerochaetaceae	0.77	Phaeophlebiopsis	0.37	Phaeophlebiopsis_ravenelii	0.37
KM591585		Fungi	1.00	Ascomycota	0.52	Agaricomycetes	0.23	Russulales	0.11	Robbaueraceae	0.10	Robbauera	0.10	Robbauera_albescens	0.10
MT477069		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.96	Hypocreales	0.60	Hypocreaceae	0.20	Trichoderma	0.14	Cordyceps_ghanensis	0.14
KP272110		Fungi	1.00	Ascomycota	0.94	Leotiomycetes	0.26	Helotiales	0.17	Symbiotaphrinaceae	0.17	Symbiotaphrina	0.17	Xylona_heveae	0.08
KU845985		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.98	Hypocreales	0.98	Stachybotryaceae	0.98	Alfaria	0.98	Alfaria_terrestris	0.68
JQ989328		Fungi	1.00	Ascomycota	0.96	Pezizomycetes	0.73	Pezizales	0.73	Pyronemataceae	0.73	Tricharina	0.67	Tricharina_hiemalis	0.32
JN000071		Fungi	1.00	Basidiomycota	1.00	Microbotryomycetes	1.00	Microbotryales	1.00	Microbotryaceae	1.00	Microbotryum	1.00	Microbotryum_vinosum	1.00
MT477071		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.97	Hypocreales	0.54	Cordycipitaceae	0.39	Sporothrix	0.25	Sporothrix_ghanensis	0.15
JN942681		Fungi	1.00	Ascomycota	0.55	Agaricomycetes	0.24	Saccharomycetales	0.12	Orbiliaceae	0.08	Arthrobotrys	0.08	Biscogniauxia_rosacearum	0.05
EU514225		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Mycosphaerellales	1.00	Dissoconiaceae	1.00	Uwebraunia	1.00	Uwebraunia_musae	1.00
KU847232		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Striaticonidium	1.00	Striaticonidium_brachysporum	1.00
KU847240		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Striaticonidium	1.00	Striaticonidium_synnematum	0.63
LC259095		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Lipomycetaceae	1.00	Lipomyces	1.00	Lipomyces_yarrowii	0.73
MN537723		Fungi	1.00	Ascomycota	1.00	Eurotiomycetes	1.00	Chaetothyriales	1.00	Herpotrichiellaceae	0.85	Exophiala	0.84	Exophiala_eucalyptorum	0.84
KF251156		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	0.52	Sporocadaceae	0.36	Subulispora	0.15	Discosia_yakushimensis	0.14
KX820250		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	1.00	Clypeophysalosporaceae	1.00	Clypeophysalospora	1.00	Clypeophysalospora_latitans	1.00
KU847252		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Xepicula	1.00	Xepicula_leucotricha	1.00
HQ599386		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Massariaceae	1.00	Massaria	1.00	Massaria_campestris	1.00
JQ627125		Fungi	1.00	Ascomycota	0.99	Leotiomycetes	0.40	Helotiales	0.21	Sareaceae	0.13	Sarea	0.13	Sarea_resinae	0.13
MW694951		Fungi	1.00	Ascomycota	1.00	Eurotiomycetes	1.00	Eurotiales	1.00	Aspergillaceae	1.00	Penicillium	1.00	Penicillium_cainii	0.70
MN250204		Fungi	1.00	Basidiomycota	0.90	Agaricomycetes	0.89	Agaricales	0.47	Boletaceae	0.16	Boletus	0.16	Boletus_reticulatus	0.14
JX867675		Fungi	1.00	Ascomycota	0.85	Dothideomycetes	0.30	Pleosporales	0.17	Magnaporthaceae	0.10	Gaeumannomyces	0.10	Gaeumannomyces_radicicola	0.10
KF251172		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Phaeosphaeriaceae	1.00	Paraphoma	1.00	Paraphoma_radicina	1.00
OK057148		Fungi	1.00	Basidiomycota	0.97	Agaricomycetes	0.93	Agaricales	0.87	Psathyrellaceae	0.38	Psathyrella	0.21	Psathyrella_spadiceogrisea	0.13
OK057159		Fungi	1.00	Basidiomycota	0.96	Agaricomycetes	0.95	Agaricales	0.91	Psathyrellaceae	0.56	Tulosesus	0.40	Tulosesus_pallidus	0.40
MK229175		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Diaporthales	1.00	Juglanconidaceae	1.00	Juglanconis	1.00	Juglanconis_juglandina	1.00
HE962445		Fungi	1.00	Ascomycota	0.56	Saccharomycetes	0.42	Saccharomycetales	0.42	Saccharomycetaceae	0.18	Torulaspora	0.10	Torulaspora_globosa	0.07
AJ969625		Fungi	1.00	Ascomycota	1.00	Pezizomycetes	1.00	Pezizales	1.00	Tuberaceae	1.00	Tuber	1.00	Tuber_borchii	1.00
JN388972		Fungi	1.00	Basidiomycota	0.98	Agaricomycetes	0.98	Polyporales	0.34	Russulaceae	0.23	Lactarius	0.23	Lactarius_ciliatus	0.17
KY633514		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	1.00	Phacidiales	1.00	Phacidiaceae	1.00	Phacidium	1.00	Phacidium_lacerum	1.00
MH872962		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Dacampiaceae	1.00	Aaosphaeria	1.00	Aaosphaeria_arxii	1.00
KP859039		Fungi	1.00	Ascomycota	1.00	Orbiliomycetes	1.00	Orbiliales	1.00	Orbiliaceae	1.00	Hyalorbilia	1.00	Hyalorbilia_fusarioides	1.00
KP336763		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Sordariales	1.00	Chaetomiaceae	1.00	Ovatospora	1.00	Ovatospora_unipora	1.00
AY905554		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Neofusicoccum	1.00	Neofusicoccum_mangiferae	1.00
UDB000418		Fungi	1.00	Basidiomycota	0.97	Agaricomycetes	0.96	Boletales	0.60	Boletaceae	0.54	Boletus	0.54	Boletus_reticulatus	0.54
KP336774		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Sordariales	1.00	Chaetomiaceae	1.00	Parachaetomium	0.99	Parachaetomium_inaequale	0.99
DQ366699		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Nectriaceae	1.00	Gliocephalotrichum	1.00	Gliocephalotrichum_microchlamydosporum	0.98
KU846463		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Myxospora	0.97	Myxospora_crassiseta	0.97
MH784817		Fungi	1.00	Basidiomycota	0.99	Agaricomycetes	0.97	Agaricales	0.91	Lycoperdaceae	0.23	Lycoperdon	0.13	Lycoperdon_pyriforme	0.13
KU597793		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	0.96	Helotiales	0.96	Lachnaceae	0.75	Lachnellula	0.38	Proliferodiscus_tricolor	0.26
AB304152		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Saccharomycetaceae	1.00	Torulaspora	1.00	Torulaspora_maleeae	1.00
NR_156313		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Metschnikowiaceae	1.00	Metschnikowia	1.00	Metschnikowia_viticola	0.60
KY827270		Fungi	1.00	Basidiomycota	0.99	Agaricomycetes	0.99	Agaricales	0.93	Psathyrellaceae	0.43	Coprinopsis	0.17	Tulosesus_pallidus	0.16
MK050431		Fungi	1.00	Basidiomycota	1.00	Microbotryomycetes	1.00	Microbotryomycetes_ord_Incertae_sedis_Chrysozymaceae	1.00	Chrysozymaceae	1.00	Chrysozyma	1.00	Chrysozyma_griseoflava	1.00
KX234735		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	0.93	Psathyrellaceae	0.30	Tulosesus	0.24	Tulosesus_pallidus	0.24
KT949904		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	0.93	Beltraniaceae	0.53	Neopestalotiopsis	0.37	Neopestalotiopsis_foedans	0.27
KT949907		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	0.97	Pseudomassariaceae	0.95	Pseudomassaria	0.68	Pseudomassaria_chondrospora	0.68
KY827281		Fungi	1.00	Basidiomycota	0.99	Agaricomycetes	0.98	Agaricales	0.94	Hymenogastraceae	0.41	Galerina	0.36	Galerina_pumila	0.35
MH855021		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Cephaloascaceae	1.00	Cephaloascus	1.00	Cephaloascus_fragrans	1.00
FN185976		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	0.67	Leotiales	0.45	Tympanidaceae	0.45	Tympanis	0.45	Sarea_resinae	0.23
MN218820		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Xylariales	1.00	Xylariaceae	1.00	Xylaria	0.96	Xylaria_ellisii	0.54
KT949912		Fungi	1.00	Ascomycota	0.99	Sordariomycetes	0.68	Xylariales	0.29	Hyaloscyphaceae	0.16	Hyaloscypha	0.16	Hyaloscypha_finlandica	0.16
KT949914		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	1.00	Sporocadaceae	0.99	Seiridium	0.79	Seiridium_papillatum	0.40
HM241692		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Chaetosphaeriales	1.00	Chaetosphaeriaceae	1.00	Pyrigemmula	1.00	Pyrigemmula_aurantiaca	1.00
KM039135		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.98	Xylariales	0.89	Hypoxylaceae	0.48	Xylaria	0.33	Daldinia_raimundi	0.16
AY029342		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Tremellales	1.00	Bulleribasidiaceae	1.00	Dioszegia	1.00	Dioszegia_butyracea	0.99
MH712825		Fungi	1.00	Basidiomycota	0.73	Tremellomycetes	0.61	Tremellales	0.61	Trimorphomycetaceae	0.17	Tremella	0.17	Trimorphomyces_sakaeraticus	0.14
MN475939		Fungi	1.00	Ascomycota	0.54	Agaricomycetes	0.38	Mycosphaerellales	0.09	Atheliaceae	0.08	Piloderma	0.08	Acanthophysium_buxicola	0.05
MT216220		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Hymenogastraceae	0.91	Psilocybe	0.54	Psilocybe_semilanceata	0.48
JQ281774		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.97	Diaporthales	0.97	Schizoparmaceae	0.97	Coniella	0.97	Coniella_pseudokoreana	0.94
