ID	kingdom	Prob_kingdom	phylum	Prob_phylum	class	Prob_class	 order	Prob_order	family	Prob_family	genus	Prob_genus	 species	Prob_species
KU845985		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.99	Hypocreales	0.99	Stachybotryaceae	0.99	Alfaria	0.99	Alfaria_terrestris	0.77
KX820250		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	1.00	Clypeophysalosporaceae	1.00	Clypeophysalospora	1.00	Clypeophysalospora_latitans	1.00
MH861482		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Russulales	1.00	Lachnocladiaceae	1.00	Scytinostroma	1.00	Scytinostroma_alutum	1.00
KU847252		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Xepicula	1.00	Xepicula_leucotricha	0.99
JF735288		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Nectriaceae	1.00	Ilyonectria	1.00	Ilyonectria_liriodendri	1.00
LT222023		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Tricholomataceae	1.00	Tricholoma	1.00	Tricholoma_olivaceotinctum	1.00
KU847240		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Striaticonidium	1.00	Striaticonidium_synnematum	0.62
JF735264		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Nectriaceae	1.00	Ilyonectria	1.00	Ilyonectria_liriodendri	1.00
KU847232		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Striaticonidium	1.00	Striaticonidium_brachysporum	1.00
KF251172		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Phaeosphaeriaceae	1.00	Paraphoma	1.00	Paraphoma_radicina	1.00
