command	CPU	time	mem
"gappa prepare taxonomy-tree --taxon-list-file ../../data/train_gappa.tax --out-dir /users/brfurnea/LifePlan/brendan/taxclass/coi/models/epang-taxtree --threads 4 --allow-file-overwriting"	85%	0:02.29	46776
"iqtree2 -s ../../data/train_aa_aln.fasta -T 4 -fast -keep-ident --redo -m mtART+G4 -g taxonomy_tree.newick -pre train_aa_4/train_aa"	146%	12:06:32	8256200
"epa-ng --tree train_aa_4/train_aa.treefile --ref-msa ../../data/train_aa_aln.fasta --query ../../data/test_aa_aln.fasta --out-dir train_aa_4/test --model mtART+G4{0.59} --threads 4 --redo"	397%	12:57:57	39633692
"gappa examine assign --jplace-path train_aa_4/test/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_4/test --file-suffix _test_aa_4 --per-query-results --threads 4 --allow-file-overwriting"	98%	0:57.72	379252
"epa-ng --tree train_aa_4/train_aa.treefile --ref-msa ../../data/train_aa_aln.fasta --query ../../data/testshort_aa_aln.fasta --out-dir train_aa_4/testshort --model mtART+G4{0.59} --threads 4 --redo"	397%	13:41:21	33087680
"gappa examine assign --jplace-path train_aa_4/testshort/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_4/testshort --file-suffix _testshort_aa_4 --per-query-results --threads 4 --allow-file-overwriting"	98%	0:56.68	374420
"iqtree2 -s ../../data/train_nt_aln.fasta -T 4 -fast -keep-ident --redo -m GTR+G4 -g taxonomy_tree.newick -pre train_nt_4/train_nt"	182%	11:51:51	4717756
"epa-ng --tree train_nt_4/train_nt.treefile --ref-msa ../../data/train_nt_aln.fasta --query ../../data/test_nt_aln.fasta --out-dir train_nt_4/test --model GTR{1.40763/8.03707/5.63016/1.55234/25.45123/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.412} --threads 4 --redo"	380%	12:06.10	36594500
"gappa examine assign --jplace-path train_nt_4/test/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_4/test --file-suffix _test_nt_4 --per-query-results --threads 4 --allow-file-overwriting"	99%	0:41.22	366244
"epa-ng --tree train_nt_4/train_nt.treefile --ref-msa ../../data/train_nt_aln.fasta --query ../../data/testshort_nt_aln.fasta --out-dir train_nt_4/testshort --model GTR{1.40763/8.03707/5.63016/1.55234/25.45123/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.412} --threads 4 --redo"	379%	9:49.10	30696512
"gappa examine assign --jplace-path train_nt_4/testshort/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_4/testshort --file-suffix _testshort_nt_4 --per-query-results --threads 4 --allow-file-overwriting"	99%	0:41.41	369148
