ID	kingdom	Prob_kingdom	phylum	Prob_phylum	class	Prob_class	order	Prob_order	family	Prob_family	genus	Prob_genus	species	Prob_species
KJ720198	Fungi	0.260	Basidiomycota	0.251	Agaricomycetes	0.244	Polyporales	0.070	Ganodermataceae	0.027	Ganoderma	0.027	Ganoderma_applanatum	0.027
MH861482	Fungi	1.0	Basidiomycota	1.0	Agaricomycetes	1.0	Russulales	1.0	Lachnocladiaceae	1.0	Scytinostroma	1.0	Scytinostroma_alutum	1.0
LT222023	Fungi	0.576	Basidiomycota	0.576	Agaricomycetes	0.576	Agaricales	0.576	Tricholomataceae	0.555	Tricholoma	0.555	Tricholoma_olivaceotinctum	0.555
AB385698	Fungi	0.193	Ascomycota	0.157	Dothideomycetes	0.115	Venturiales	0.106	Sympoventuriaceae	0.106	Tetracoccosporium	0.088	Tetracoccosporium_aerium	0.088
JF735264	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	1.0	Hypocreales	1.0	Nectriaceae	1.0	Ilyonectria	1.0	Ilyonectria_liriodendri	1.0
KX287385	Fungi	1.0	Ascomycota	1.0	Dothideomycetes	1.0	Mycosphaerellales	1.0	Mycosphaerellaceae	1.0	Ramularia	1.0	Ramularia_cynarae	1.0
JN684766	Fungi	0.180	Basidiomycota	0.103	Tremellomycetes	0.030	Tremellales	0.018	unclassified_Tremellales	0.018
FJ914915	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Pichiaceae	1.0	Ogataea	1.0	Ogataea_polymorpha	0.908
JF735288	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	1.0	Hypocreales	1.0	Nectriaceae	1.0	Ilyonectria	0.956	Ilyonectria_liriodendri	0.918
KM108370	Fungi	0.493	Ascomycota	0.493	Leotiomycetes	0.483	Phacidiales	0.343	Phacidiaceae	0.343	Phacidium	0.343	Phacidium_lacerum	0.343
KM108374	Fungi	0.512	Ascomycota	0.512	Dothideomycetes	0.499	Botryosphaeriales	0.451	Botryosphaeriaceae	0.442	Lasiodiplodia	0.170	Lasiodiplodia_gonubiensis	0.170
KM108378	Fungi	0.802	Ascomycota	0.802	Dothideomycetes	0.802	Botryosphaeriales	0.802	Botryosphaeriaceae	0.802	Sphaeropsis	0.362	Sphaeropsis_citrigena	0.362
KY102361	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	1.0	Hyphopichia	1.0	Hyphopichia_rhagii	1.0
JN942657	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Debaryomycetaceae	1.0	Debaryomyces	1.0	Debaryomyces_prosopidis	0.989
EF141551	Fungi	0.531	Basidiomycota	0.531	Agaricomycetes	0.531	Russulales	0.531	Russulaceae	0.531	Lactarius	0.531	Lactarius_subdulcis	0.526
