ID	kingdom	Prob_kingdom	phylum	Prob_phylum	class	Prob_class	order	Prob_order	family	Prob_family	genus	Prob_genus	species	Prob_species
KJ720198	Fungi	0.257	Basidiomycota	0.246	Agaricomycetes	0.231	Agaricales	0.146	Hygrophoraceae	0.042	Cantharellula	0.042	Cantharellula_umbonata	0.042
MH861482	Fungi	1.0	Basidiomycota	1.0	Agaricomycetes	1.0	Russulales	1.0	Lachnocladiaceae	1.0	Scytinostroma	1.0	Scytinostroma_alutum	1.0
LT222023	Fungi	0.586	Basidiomycota	0.586	Agaricomycetes	0.586	Agaricales	0.582	Tricholomataceae	0.557	Tricholoma	0.557	Tricholoma_olivaceotinctum	0.557
AB385698	Fungi	0.184	Ascomycota	0.155	Dothideomycetes	0.104	Venturiales	0.094	Sympoventuriaceae	0.092	Tetracoccosporium	0.082	Tetracoccosporium_aerium	0.082
JF735264	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	1.0	Hypocreales	1.0	Nectriaceae	1.0	Ilyonectria	1.0	Ilyonectria_liriodendri	1.0
KX287385	Fungi	1.0	Ascomycota	1.0	Dothideomycetes	1.0	Mycosphaerellales	1.0	Mycosphaerellaceae	1.0	Ramularia	1.0	Ramularia_cynarae	1.0
JN684766	Fungi	0.181	Basidiomycota	0.113	unclassified_Basidiomycota	0.113
FJ914915	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Pichiaceae	1.0	Ogataea	1.0	Ogataea_polymorpha	0.914
JF735288	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	1.0	Hypocreales	1.0	Nectriaceae	1.0	Ilyonectria	0.989	Ilyonectria_liriodendri	0.953
KM108370	Fungi	0.457	Ascomycota	0.457	Leotiomycetes	0.437	Phacidiales	0.318	Phacidiaceae	0.318	Phacidium	0.318	Phacidium_lacerum	0.318
KM108374	Fungi	0.529	Ascomycota	0.529	Dothideomycetes	0.523	Botryosphaeriales	0.494	Botryosphaeriaceae	0.474	Lasiodiplodia	0.195	Lasiodiplodia_gonubiensis	0.195
KM108378	Fungi	0.767	Ascomycota	0.767	Dothideomycetes	0.767	Botryosphaeriales	0.767	Botryosphaeriaceae	0.767	Lasiodiplodia	0.246	Lasiodiplodia_gonubiensis	0.246
KY102361	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	1.0	Hyphopichia	1.0	Hyphopichia_rhagii	0.937
JN942657	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Debaryomycetaceae	1.0	Debaryomyces	1.0	Debaryomyces_prosopidis	0.987
