ID	kingdom	Prob_kingdom	phylum	Prob_phylum	class	Prob_class	order	Prob_order	family	Prob_family	genus	Prob_genus	species	Prob_species
KJ720198	Fungi	0.243	Basidiomycota	0.237	Agaricomycetes	0.218	Agaricales	0.129	Nidulariaceae	0.025	Nidularia	0.025	Nidularia_deformis	0.025
MH861482	Fungi	1.0	Basidiomycota	1.0	Agaricomycetes	1.0	Russulales	1.0	Lachnocladiaceae	1.0	Scytinostroma	1.0	Scytinostroma_alutum	1.0
LT222023	Fungi	0.629	Basidiomycota	0.629	Agaricomycetes	0.629	Agaricales	0.629	Tricholomataceae	0.609	Tricholoma	0.609	Tricholoma_olivaceotinctum	0.609
AB385698	Fungi	0.195	Ascomycota	0.145	Dothideomycetes	0.096	Venturiales	0.092	Sympoventuriaceae	0.090	Tetracoccosporium	0.084	Tetracoccosporium_aerium	0.084
JF735264	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	1.0	Hypocreales	1.0	Nectriaceae	1.0	Ilyonectria	1.0	Ilyonectria_liriodendri	1.0
KX287385	Fungi	1.0	Ascomycota	1.0	Dothideomycetes	1.0	Mycosphaerellales	1.0	Mycosphaerellaceae	1.0	Ramularia	1.0	Ramularia_cynarae	1.0
JN684766	Fungi	0.179	Basidiomycota	0.109	Agaricomycetes	0.062	Agaricales	0.021	unclassified_Agaricales	0.021
FJ914915	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Pichiaceae	1.0	Ogataea	1.0	Ogataea_polymorpha	0.885
JF735288	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	1.0	Hypocreales	1.0	Nectriaceae	1.0	Ilyonectria	0.973	Ilyonectria_liriodendri	0.924
KM108370	Fungi	0.473	Ascomycota	0.473	Leotiomycetes	0.469	Phacidiales	0.395	Phacidiaceae	0.395	Phacidium	0.395	Phacidium_lacerum	0.395
KM108374	Fungi	0.499	Ascomycota	0.499	Dothideomycetes	0.474	Botryosphaeriales	0.449	Botryosphaeriaceae	0.438	Lasiodiplodia	0.212	Lasiodiplodia_gonubiensis	0.212
KM108378	Fungi	0.778	Ascomycota	0.778	Dothideomycetes	0.778	Botryosphaeriales	0.778	Botryosphaeriaceae	0.778	Sphaeropsis	0.264	Sphaeropsis_citrigena	0.264
KY102361	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	1.0	Hyphopichia	1.0	Hyphopichia_rhagii	0.958
JN942657	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Debaryomycetaceae	1.0	Debaryomyces	1.0	Debaryomyces_prosopidis	0.988
EF141551	Fungi	0.548	Basidiomycota	0.548	Agaricomycetes	0.548	Russulales	0.548	Russulaceae	0.548	Lactarius	0.548	Lactarius_subdulcis	0.540
KJ780507	Fungi	0.148	Basidiomycota	0.068	Agaricomycetes	0.054	Agaricales	0.016	unclassified_Agaricales	0.016
